"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Joseph Dolan - Fantasy Points","2","14","31","23","-","-","-"
"2","Andy Behrens - Yahoo","3","18","41","13","45","102","-"
"3","Chris Meaney - FTN","1","53","5","51","68","10","-"
"4","Dylan Chappine - Wolf Sports","16","1","99","61","44","94","-"
"5","Bill Enright - Sports Illustrated","10","72","1","100","120","108","-"
"6","Walter Cherepinsky - Walter Football","5","38","24","48","104","83","-"
"7","Jeff Boggis - Fantasy Football Empire","53","12","13","40","121","6","18"
"8","Kevin English - Draft Sharks","57","28","9","19","88","42","-"
"9","Dennis Esser - Coach Esser","25","45","3","82","23","11","-"
"10","Site Rankings - FullTime Fantasy","85","2","20","86","17","43","12"
"11","Staff Rankings - Pyromaniac","28","30","30","39","96","76","-"
"12","Andy Holloway - The Fantasy Footballers","26","68","10","14","124","132","-"
"13","Chris Raybon - The Action Network","24","33","8","131","11","7","-"
"14","Brendan Donahue - Sharp Football Analysis","38","37","18","46","-","-","-"
"15","Jeff Ratcliffe - FTN","36","21","51","41","40","17","2"
"16","Matthew Hill - DataForce Fantasy Football","4","16","126","24","-","-","-"
"17","Allie Fontana - Fighting Chance Fantasy","62","25","33","20","20","20","-"
"18","Scott Pianowski - Yahoo","96","3","4","138","34","30","-"
"19","Dave Richard - CBS Sports","73","27","14","59","114","73","-"
"20","Pat Fitzmaurice - FantasyPros","89","5","40","49","32","33","-"
"21","Nick Mariano - RotoBaller","30","8","92","33","15","112","-"
"22","Justin Boone - theScore","67","13","37","70","28","81","-"
"23","Bill Dubiel - RotoBaller","31","4","104","81","97","68","-"
"24","Dan Clasgens - Get Sports Info","70","15","36","93","39","1","-"
"25","Andy Singleton - Expand The Boxscore","90","19","28","31","92","74","4"
"26","Frank Stampfl - CBS Sports","7","10","102","126","36","127","-"
"27","Jake Ciely - The Athletic","21","22","94","75","-","67","-"
"28","Elisha Twerski - USA Today","46","51","15","64","-","86","-"
"29","David Gonos - The Athletic","20","71","34","50","50","50","-"
"30","Jason Longfellow - Razzball","71","17","57","56","4","80","8"
"31","Jamey Eisenberg - CBS Sports","65","24","43","102","2","61","-"
"32","Brandon Funston - The Athletic","74","7","77","71","115","26","-"
"33","Dan Harris - FantasyPros","54","35","73","17","77","99","-"
"34","Mike Wright - The Fantasy Footballers","86","59","11","26","-","-","-"
"35","Dalton Del Don - Yahoo","11","65","58","83","71","96","-"
"36","Richard Savill - Fantasy Six Pack","87","41","42","16","81","27","-"
"37","Ben Standig - The Athletic","52","46","62","27","61","48","-"
"38","Rich Piazza - Fantasy Shed","63","26","111","6","19","122","-"
"39","Kevin Roberts - Breaking Football","23","56","60","103","84","25","-"
"40","Kevin Hanson - EDSFootball","83","32","39","88","64","91","-"
"41","Joe Bond - Fantasy Six Pack","82","23","64","87","24","62","-"
"42","Michael Florio - Rotoballer","41","44","56","116","99","113","-"
