"Rank","Expert Name","QB","RB","WR","TE","K","DST","IDP"
"1","Patrick Thorman - Establish the Run","7","4","10","30","60","35","-"
"2","Chris Raybon - The Action Network","27","2","30","3","9","2","-"
"3","Ben Wasley - The Fantasy First Down","1","39","24","17","12","8","-"
"4","Billy Muzio - PlayerProfiler.com","2","12","5","97","-","-","-"
"5","Sean Koerner - The Action Network","20","3","29","25","1","11","-"
"6","David Biggs - Drink Five","59","7","1","47","22","25","-"
"7","Alex Godshall - Hooyah Sports","25","22","4","10","-","-","-"
"8","Kevin Hanson - EDSFootball","21","10","9","61","33","45","-"
"9","Elisha Twerski - USA Today","6","25","14","45","-","-","-"
"10","Dave Major - XN Sports","45","6","15","35","-","-","-"
"11","Matthew Freedman - Fantasy Life","28","9","23","37","41","31","-"
"12","Alfredo Brown - Footballguys","40","17","8","20","59","3","-"
"13","Nick Mariano - RotoBaller","33","27","26","1","13","72","-"
"14","Chris Kennedy - Dr. Roto","24","13","46","15","54","58","-"
"15","Jody Smith - FullTime Fantasy","12","11","45","46","16","94","-"
"16","Joe Bond - Fantasy Six Pack","19","37","7","34","44","10","-"
"17","Nick Spencer - Fantasy Six Pack","30","19","28","14","35","50","-"
"18","Chalk - The Undroppables","3","61","20","50","-","-","-"
"19","Kev Mahserejian - RotoBaller","44","56","2","24","17","42","-"
"20","Tyler Orginski - JWB Fantasy Football","15","31","13","84","-","-","-"
"21","Matthew Hill - DataForce Fantasy Football","36","48","21","11","-","-","-"
"22","Dylan Chappine - Wolf Sports","26","62","11","12","5","78","-"
"23","Mike Maher - FantasyPros","43","28","48","4","-","-","-"
"24","Mick Ciallela - Fantrax","38","36","22","41","26","5","-"
"25","Kevin English - Draft Sharks","16","29","76","5","66","86","-"
"26","Francisco (Chato) Romero - Estadio Fantasy","52","40","31","7","47","26","-"
"27","Nathan Jahnke - Pro Football Focus","63","44","12","26","24","16","4"
"28","Andy Singleton - Expand The Boxscore","29","24","38","64","11","37","11"
"29","Jeff Ratcliffe - FTN","42","15","32","79","-","-","-"
"30","Bill Enright - Sports Illustrated","8","57","27","92","-","-","-"
"31","Justin Sablich - 5th Down Fantasy","55","14","70","36","27","12","-"
"32","Pat Fitzmaurice - FantasyPros","4","59","40","98","69","99","-"
"33","Dennis Sosic - Fantasy Six Pack","86","33","25","49","48","53","9"
"34","Frank Ammirante - The Game Day","32","41","36","70","74","87","-"
"35","Dalton Del Don - Yahoo","5","38","56","128","61","14","-"
"36","Ryan Noonan - 4for4","73","35","33","42","-","-","-"
"37","Mike MacGregor - Draft Buddy","71","26","16","118","2","24","-"
"38","Matt De Lima - DraftKings","34","8","74","115","-","71","3"
"39","Seth Miller - Crossroads Fantasy Football","23","82","42","2","-","-","-"
"40","Anthony Cervino - FF Faceoff","49","18","63","67","-","-","-"
"41","Andrew Erickson - FantasyPros","46","16","99","13","-","-","-"
"42","Matt Schauf - Draft Sharks","64","66","35","6","-","54","12"
"43","Elvin Ryan - FantasyPros","110","30","6","77","58","13","-"
"44","Wyatt Bertolone - JWB Fantasy Football","93","23","43","68","-","-","-"
"45","Joey Wright - Footballguys","22","71","54","22","89","-","-"
"46","Allie Fontana - Fighting Chance Fantasy","67","45","52","39","51","52","-"
"47","Dan Larocca - Rotoballer","13","34","84","99","79","29","-"
"48","Tyler Loechner - FTN","39","21","89","74","-","-","-"
"49","Tozzi Brothers - Legion Report","66","73","39","18","-","-","-"
"50","Bradley Stalder - Player Profiler","85","55","34","53","67","-","8"
"51","Zach Brunner - FlurrySports","98","46","18","104","45","34","-"
"52","Steve Paulo - CRAIG Projections","53","5","105","94","32","18","-"
"53","Kev Wheeler - Wheel Route FF","108","20","53","56","-","-","-"
"54","Jared Smola - Draft Sharks","77","63","47","27","31","20","-"
"55","Anthony Staggs - 4for4","57","58","51","58","-","-","-"
"56","Brandon Murchison - RotoBaller","131","50","3","90","28","33","-"
"57","Fantasy BR - Staff Rankings","47","47","57","102","-","-","13"
"58","Bobby LaMarco - Razzball","65","49","58","85","-","-","-"
"59","Neema Hodjat - Real GM","35","85","41","57","62","88","-"
"60","Drew DeLuca - QB List","95","52","50","48","55","38","-"
"61","Zach Greubel - Gridiron Experts","76","69","49","32","-","-","-"
"62","Frank Stampfl - CBS Sports","82","54","77","29","-","85","-"
"63","Jacob Gibbs - SportsLine","103","72","44","16","-","-","-"
"64","Rudy Gamble - Razzball","37","42","96","52","8","19","-"
"65","Scott Smith - RotoViz","9","80","85","69","-","-","-"
"66","Richard Savill - Fantasy Six Pack","79","64","75","38","30","30","-"
"67","Rob Waziak - Fantasy Life","69","93","37","51","23","17","-"
"68","Wilmar Chaves - Hablemos de Football","74","67","72","83","40","64","-"
"69","David Zach - FantasyPros","97","60","79","55","-","-","-"
"70","Richard King - King Fantasy Sports","61","89","61","63","52","-","-"
"71","Tim Jablonski - The Hateful 8","78","65","64","107","73","36","-"
"72","Ryan Larrison - Fantasy Football For The People","11","76","93","112","-","75","-"
"73","Clayton Cadieux - Fantasy Football From Up North","10","98","95","54","43","51","-"
"74","Cody Austin - Dad Bod Fantasy Squad","17","92","69","117","-","-","-"
"75","Andrew Seifter - FantasyPros","50","110","60","31","4","7","-"
"76","Kyle Yates - Yates Fantasy Football","18","120","62","59","64","74","-"
"77","Jeff Bell - Footballguys","89","115","17","96","-","70","-"
"78","Morgan Colby - The Fantasy Champions","62","81","81","82","-","-","-"
"79","Mike Fanelli - FantasyPros","138","32","94","21","80","48","-"
"80","Aaron Larson - FantasyPros","148","51","55","43","-","93","-"
"81","Jacob Dunne - SportsEthos","134","99","19","40","77","44","-"
"82","Ricky Lemon - The Fantasy Champions","48","91","88","75","-","77","-"
"83","Todd D Clark - The Fantasy Fix","70","84","71","116","-","-","-"
"84","Mauricio Gutierrez - Estadio Fantasy","99","78","66","86","57","28","-"
"85","Derek Dennington - The Good Old Boys","31","68","106","109","-","-","-"
"86","Andy Behrens - Yahoo","116","75","67","88","65","47","-"
"87","Bart Wheeler - Hail to Fantasy Football","54","106","78","100","14","22","-"
"88","Scott Youngson - Pitcher List","75","90","103","33","-","46","-"
"89","C.H. Herms - The 33rd Team","56","83","97","108","-","-","-"
"90","Scott Spratt - FTN","112","74","59","114","-","-","-"
"91","Tommy Garrett - SharpLinkHQ","72","116","101","9","15","1","-"
"92","Kyle Krajewski - First Seed Sports","88","96","65","119","34","73","-"
"93","Lee Wehry - FantasyPros","101","77","83","131","83","60","-"
"94","Mundo Fantasy MX - Mundo Fantasy","143","88","73","28","86","67","-"
"95","John Hesterman - Dynasty League Football","94","94","80","125","-","-","-"
"96","Staff Rankings - QB List","83","95","86","137","-","-","-"
"97","Wolf of Roto Street - Roto Street Journal","117","109","90","23","25","76","-"
"98","Benjamin Klotz - Touchdown Squad","105","70","118","71","87","83","-"
"99","Kyle Cunningham-Rhoads - The Analyst","58","1","160","76","7","39","-"
"100","Steven Pintado - The Fantasy Coaches","41","102","108","136","-","-","-"
"101","Dave Kluge - Footballguys","100","125","87","91","36","80","-"
"102","Derek Brown - FantasyPros","122","86","116","44","-","6","-"
"103","Matt Donnelly - Dynasty Vipers","51","107","127","62","81","15","17"
"104","Corbin Young - FantasyData","106","105","104","87","-","-","-"
"105","Scott Pianowski - Yahoo","130","123","68","106","53","55","-"
"106","Jason Willan - Gridiron Experts","91","111","107","133","39","65","-"
"107","Chris Meaney - FTN","120","53","136","134","-","-","-"
"108","Jamie Calandro - RotoBaller","149","43","124","120","-","-","-"
"109","Ryan Hicks - Belly Up Sports","96","117","131","72","-","-","-"
"110","Daniel Mader - Fantasy Football Advice Network","119","100","132","60","6","57","-"
"111","Scott Engel - RotoBaller","81","121","137","65","49","79","-"
"112","Scott Whitfield - Roto Rankings","144","104","111","66","-","-","-"
"113","Matt Olson - 32 Beat Writers","107","122","119","95","-","-","-"
"114","Jeremy Popielarz  - FTN","68","97","148","111","-","-","-"
"115","Jaime Eisner - The Draft Network","145","128","113","19","19","27","-"
"116","Nate Marcum - Fantasy In Frames","125","126","92","141","-","-","6"
"117","Adam Stark - Everyday Fantasy Football","90","112","135","126","-","-","-"
"118","Nick Zylak - Fantasy Football Advice","127","87","140","80","76","82","-"
"119","Garret Price - Dynasty Nerds","158","135","82","73","-","-","-"
"120","Sebastian Ardura - Gurus Deportivos","142","136","100","81","72","81","-"
"121","Mike Randle - FTN","147","108","98","145","-","-","-"
"122","Pierre Camus - Fantasy Endgame","115","144","117","78","21","43","-"
"123","Guilherme Gianni - Fantasy Futebolista","87","145","125","89","63","4","-"
"124","Joe Pisapia - FantasyPros","156","79","115","155","-","-","-"
"125","Adam Murfet - 5 Yard Rush","126","130","109","139","84","63","7"
"126","Derek Lofland - FantasyPros","60","137","130","149","38","9","-"
"127","Chris Dell - Betting Predators","161","103","110","103","46","41","-"
"128","David Heilman - Sports Gambling Podcast Network","92","152","102","101","-","-","-"
"129","Steve DeAngelo - FF Faceoff","135","114","128","113","-","-","-"
"130","Dan Yanotchko - EDSFootball","124","131","121","110","56","84","-"
"131","Rich Piazza - Fantasy Shed","102","113","151","138","-","89","-"
"132","Jeff Torrey - FF Prophet","132","142","114","140","-","-","-"
"133","Andersen Pickard - Prime Time Sports Talk","109","124","141","154","18","40","-"
"134","Chet Gresham - SB Nation","136","101","150","122","-","100","-"
"135","Matt Harmon - Yahoo","150","129","123","121","78","90","-"
"136","Michael Tomlin - Fantasy Six Pack","146","147","147","8","50","96","-"
"137","Tim Petropoulos - BRoto Fantasy","155","119","122","156","-","-","-"
"138","Mike Harmon - Swollen Dome","141","140","134","132","-","-","-"
"139","Site Rankings - Gridiron Experts","133","127","126","162","-","-","-"
"140","Tim Brosnan - Tim's Fantasy Tips","129","141","145","105","70","69","-"
"141","Jeff Boggis - Fantasy Football Empire","121","143","142","135","91","98","-"
"142","Michael Petropoulos - BRoto Fantasy","153","139","120","147","-","-","-"
"143","Huseyin Aksu - Fantasy Couch","84","146","143","158","29","56","-"
"144","Ryan Weisse - Club Fantasy FFL","113","134","152","123","37","95","-"
"145","Site Rankings - The FF Ghost","164","150","91","127","-","-","5"
"146","Brad Evans - Bally Sports","139","151","112","150","-","-","-"
"147","Adrian Alpanseque - Estadio Fantasy","104","132","153","143","-","91","-"
"148","Adam Dove - The Fantasy Couriers","162","133","133","152","75","32","-"
"149","Tal Malachovsky - The Fantasy Scout","123","148","139","157","82","21","-"
"150","Mason Riney - RPO Football","157","154","146","93","-","-","10"
"151","Smitty - TheFantasyFootballShow","140","157","138","151","85","68","-"
"152","Scott Bogman - FantasyPros","159","159","129","142","-","-","15"
"153","Mark Ringo - Sleepers and Busts","128","153","159","129","-","-","-"
"154","Marc Caviglia - Bruno Boys","111","156","156","146","90","66","-"
"155","Bo McBrayer - FantasyPros","152","138","161","161","-","-","-"
"156","Ellis Johnson - Rotoballer","165","149","154","159","-","-","-"
"157","Austin Amandolia - Club Fantasy FFL","169","162","144","124","42","101","19"
"158","Aaron Schill - FF Faceoff","167","163","149","153","-","-","-"
"159","Kevin Steele - The Fantasy Authority","118","158","162","160","-","-","-"
"160","Jon Jeune - Fantasy Football Diagnostics","114","155","163","163","-","23","-"
"161","Joe Serpico - Pressbox","151","164","158","130","-","-","-"
"162","Kyle Senra - Going For 2","160","160","164","165","-","-","-"
"163","Raju Byfield - WinMyFantasyLeague","168","165","157","148","-","-","14"
"-","Jeff Paur - RTSports","14","118","-","164","88","92","-"
"-","NaderSaba - SleeperWire","171","161","155","-","-","-","-"
"-","Mike Krueger - FFToday","163","-","-","-","3","97","-"
"-","Site Projections - numberFire","80","-","-","-","20","59","-"
"-","Michael Fabiano - Sports Illustrated","166","-","-","-","71","62","-"
"-","Jamey Eisenberg - CBS Sports","137","-","-","-","68","49","-"
"-","Jorge B. Edwards - Fantasy In Frames","170","-","-","144","-","-","18"
"-","Dave Richard - CBS Sports","154","-","-","-","10","61","-"
"-","Jordan Rains - The IDP Army","-","-","-","-","-","-","16"
"-","Ryan Sitzmann - The IDP Guru","-","-","-","-","-","-","2"
"-","MasterIDP - RPO Football","-","-","-","-","-","-","1"
""
""
