,expert,max_year,min_year,num_years,rank,less_years,avg_rank_by_year
0,Jamey Eisenberg,2023,2017,7,112,0,16.0
1,Dave Richard,2023,2017,7,128,0,18.285714285714285
2,Sean Koerner,2023,2017,7,143,0,20.428571428571427
3,Billy Muzio,2023,2021,3,66,-4,22.0
4,Doug Orth,2023,2017,7,196,0,28.0
5,Kevin English,2023,2017,7,211,0,30.142857142857142
6,Pat Fitzmaurice,2023,2017,7,221,0,31.571428571428573
7,Matthew Hill,2023,2017,7,223,0,31.857142857142858
8,Rob Waziak,2023,2017,7,246,0,35.142857142857146
9,Ryan Noonan,2023,2017,7,253,0,36.142857142857146
10,Benjamin Klotz,2023,2020,4,148,-3,37.0
11,Scott Pianowski,2023,2017,7,261,0,37.285714285714285
12,Jody Smith,2023,2017,7,262,0,37.42857142857143
13,Jeff Boggis,2023,2017,6,225,-1,37.5
14,Jeff Ratcliffe,2023,2017,7,265,0,37.857142857142854
15,Clayton Cadieux,2023,2020,4,159,-3,39.75
16,Lee Wehry,2023,2021,3,121,-4,40.333333333333336
17,Justin Sablich,2023,2019,5,214,-2,42.8
18,Chris Raybon,2023,2018,5,217,-2,43.4
19,Dan Clasgens,2023,2017,7,314,0,44.857142857142854
20,Francisco (Chato) Romero,2023,2020,4,183,-3,45.75
21,Jared Smola,2023,2017,7,325,0,46.42857142857143
22,Dave Major,2023,2017,5,242,-2,48.4
23,Justin Weigal,2023,2020,4,194,-3,48.5
24,Jorge B. Edwards,2023,2020,4,194,-3,48.5
25,Seth Miller,2023,2019,5,252,-2,50.4
26,Andy Singleton,2023,2017,7,375,0,53.57142857142857
27,Chris Meaney,2023,2017,5,270,-2,54.0
28,Marc Caviglia,2023,2017,7,379,0,54.142857142857146
29,Kevin Hanson,2023,2017,7,380,0,54.285714285714285
30,Andy Behrens,2023,2017,7,384,0,54.857142857142854
31,Matthew Freedman,2023,2018,5,280,-2,56.0
32,Nick Spencer,2023,2021,3,169,-4,56.333333333333336
33,Ken Zalis,2023,2017,7,401,0,57.285714285714285
34,John Halpin,2023,2017,3,172,-4,57.333333333333336
35,Drew DeLuca,2023,2020,4,231,-3,57.75
36,Jeff Bell,2023,2021,3,176,-4,58.666666666666664
37,Matt Donnelly,2023,2021,3,179,-4,59.666666666666664
38,Liz Loza,2023,2017,7,421,0,60.142857142857146
39,Jacob Gibbs,2023,2018,6,367,-1,61.166666666666664
40,Michelle Magdziuk,2023,2020,4,245,-3,61.25
41,Michael Hauff,2023,2019,5,308,-2,61.6
42,Scott Engel,2023,2017,7,433,0,61.857142857142854
43,Joe Bond,2023,2017,7,437,0,62.42857142857143
44,Matt De Lima,2023,2017,7,438,0,62.57142857142857
45,Site Rankings,2023,2017,32,2018,25,63.0625
46,Kyle Krajewski,2023,2021,3,192,-4,64.0
47,Chalk,2023,2020,4,259,-3,64.75
48,Richard Savill,2023,2017,7,459,0,65.57142857142857
49,Chris Kennedy,2023,2020,4,267,-3,66.75
50,Tommy Garrett,2023,2021,3,201,-4,67.0
51,Jonathan Stone,2023,2020,4,269,-3,67.25
52,Nathan Jahnke,2023,2020,4,275,-3,68.75
53,Dalton Del Don,2023,2017,7,483,0,69.0
54,Lenny Pappano,2023,2021,3,207,-4,69.0
55,Derek Dennington,2023,2021,3,207,-4,69.0
56,Rich Piazza,2023,2017,7,490,0,70.0
57,Nick Zylak,2023,2018,6,422,-1,70.33333333333333
58,Mick Ciallela,2023,2019,5,352,-2,70.4
59,Donald Gibson,2023,2017,7,495,0,70.71428571428571
60,Kev Wheeler,2023,2017,7,502,0,71.71428571428571
61,David Biggs,2023,2017,7,503,0,71.85714285714286
62,Fantasy BR,2023,2020,4,297,-3,74.25
63,Wolf of Roto Street,2023,2020,4,298,-3,74.5
64,Jordan Eisen,2023,2021,3,228,-4,76.0
65,Zach Brunner,2023,2018,6,460,-1,76.66666666666667
66,Garret Price,2023,2020,4,307,-3,76.75
67,Nick Ercolano,2023,2021,3,232,-4,77.33333333333333
68,Frank Stampfl,2023,2017,7,548,0,78.28571428571429
69,Bill Enright,2023,2018,6,470,-1,78.33333333333333
70,Zach Greubel,2023,2017,7,561,0,80.14285714285714
71,Anthony Cervino,2023,2017,6,485,-1,80.83333333333333
72,Nick Mariano,2023,2017,7,566,0,80.85714285714286
73,Des Bieler,2023,2017,7,567,0,81.0
74,Brad Evans,2023,2017,7,571,0,81.57142857142857
75,Jacob Dunne,2023,2020,4,333,-3,83.25
76,Steven Pintado,2023,2019,5,420,-2,84.0
77,Andrew Seifter,2023,2018,6,514,-1,85.66666666666667
78,Jason Willan,2023,2017,7,605,0,86.42857142857143
79,Rudy Gamble,2023,2017,7,606,0,86.57142857142857
80,Ben Wasley,2023,2020,4,348,-3,87.0
81,Scott Smith,2023,2017,7,611,0,87.28571428571429
82,Dennis Sosic,2023,2019,5,437,-2,87.4
83,Elisha Twerski,2023,2018,6,526,-1,87.66666666666667
84,Tyler Loechner,2023,2017,4,351,-3,87.75
85,Todd D Clark,2023,2019,5,440,-2,88.0
86,Brandon Funston,2023,2017,7,618,0,88.28571428571429
87,Pierre Camus,2023,2017,7,624,0,89.14285714285714
