,expert,max_year,min_year,num_years,rank,less_years,avg_rank_by_year
0,Sean Koerner,2024,2017,8,68,0,8.5
1,Patrick Thorman,2024,2017,8,75,0,9.375
2,Nathan Jahnke,2024,2018,7,91,-1,13.0
3,Jeff Ratcliffe,2024,2017,8,111,0,13.875
4,Kev Mahserejian,2024,2022,3,43,-5,14.333333333333334
5,Joe Bond,2024,2017,8,115,0,14.375
6,Nick Mariano,2024,2017,8,146,0,18.25
7,Kevin Hanson,2024,2017,8,159,0,19.875
8,Nick Spencer,2024,2022,3,60,-5,20.0
9,Elisha Twerski,2024,2018,7,142,-1,20.285714285714285
10,Chris Raybon,2024,2018,7,147,-1,21.0
11,Ben Wasley,2024,2020,5,108,-3,21.6
12,Bill Enright,2024,2017,8,190,0,23.75
13,Chris Kennedy,2024,2020,5,125,-3,25.0
14,Frank Ammirante,2024,2022,3,76,-5,25.333333333333332
15,Pat Fitzmaurice,2024,2017,8,211,0,26.375
16,Jared Smola,2024,2017,8,214,0,26.75
17,Jody Smith,2024,2017,8,233,0,29.125
18,Rob Waziak,2024,2017,8,246,0,30.75
19,Zach Greubel,2024,2017,7,219,-1,31.285714285714285
20,Matthew Freedman,2024,2017,8,260,0,32.5
21,Mick Ciallela,2024,2019,6,197,-2,32.833333333333336
22,Mike MacGregor,2024,2020,5,168,-3,33.6
23,Matthew Hill,2024,2017,8,274,0,34.25
24,Dennis Sosic,2024,2019,6,208,-2,34.666666666666664
25,Francisco (Chato) Romero,2024,2021,4,141,-4,35.25
26,Anthony Cervino,2024,2018,7,249,-1,35.57142857142857
27,David Biggs,2024,2017,8,294,0,36.75
28,Tyler Orginski,2024,2020,5,206,-3,41.2
29,Justin Sablich,2024,2019,6,254,-2,42.333333333333336
30,Kev Wheeler,2024,2017,8,340,0,42.5
31,Fantasy BR,2024,2021,4,182,-4,45.5
32,Ryan Noonan,2024,2017,8,366,0,45.75
33,Mike Maher,2024,2021,4,184,-4,46.0
34,Mauricio Gutierrez,2024,2017,8,399,0,49.875
35,Dalton Del Don,2024,2017,8,411,0,51.375
36,Kevin English,2024,2017,5,258,-3,51.6
37,Tommy Garrett,2024,2021,4,211,-4,52.75
38,Rudy Gamble,2024,2017,7,372,-1,53.142857142857146
39,Zach Brunner,2024,2018,7,389,-1,55.57142857142857
40,Mike Fanelli,2024,2022,3,169,-5,56.333333333333336
41,Scott Smith,2024,2017,8,451,0,56.375
42,Neema Hodjat,2024,2020,5,284,-3,56.8
43,Chalk,2024,2021,4,228,-4,57.0
44,MasterIDP,2024,2022,3,172,-5,57.333333333333336
45,Bart Wheeler,2024,2019,6,347,-2,57.833333333333336
46,Kyle Krajewski,2024,2022,3,176,-5,58.666666666666664
47,Lee Wehry,2024,2022,3,178,-5,59.333333333333336
48,Chris Meaney,2024,2017,8,482,0,60.25
49,Jacob Gibbs,2024,2018,7,426,-1,60.857142857142854
50,Joey Wright,2024,2021,4,252,-4,63.0
51,Matt De Lima,2024,2017,8,509,0,63.625
52,Brandon Murchison,2024,2018,7,455,-1,65.0
53,Dan Larocca,2024,2021,4,263,-4,65.75
54,Jamie Calandro,2024,2019,6,395,-2,65.83333333333333
55,Bradley Stalder,2024,2021,4,267,-4,66.75
56,Kyle Yates,2024,2019,6,416,-2,69.33333333333333
57,Clayton Cadieux,2024,2021,4,285,-4,71.25
58,Jacob Dunne,2024,2020,5,362,-3,72.4
59,Dylan Licciardo,2024,2021,3,219,-5,73.0
60,Ricky Lemon,2024,2021,3,219,-5,73.0
61,Wyatt Bertolone,2024,2022,3,221,-5,73.66666666666667
62,Michael Hauff,2024,2019,4,299,-4,74.75
63,Jacob Hubman,2024,2018,5,376,-3,75.2
64,Mike Randle,2024,2018,6,466,-2,77.66666666666667
